Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
pet fountain,US,United States,English,,false,false,false,true,true,true,"Shopping, Thumbnail, Local pack, Top stories, Sitelinks, Video preview, Image pack",2200,18,0.53,174,,,,3,,Lost,,https://pioneerpet.com/fountains/,,,2026-06-17 10:28:36,
pioneer pet fountain,US,United States,English,"Pioneer Pet (Organization), Pioneer Pet fountain (Product)",true,false,false,true,true,true,"Sitelinks, Shopping, Thumbnail, People also ask, Image pack",150,0,0.41,110,83,-27,,1,1,,,https://pioneerpet.com/fountains/,,https://pioneerpet.com/fountains/,2026-05-20 22:40:30,2026-07-29 08:02:16
pioneer pet water fountain,US,United States,English,"Pioneer Pet (Organization), Pioneer Pet water fountain (Product)",true,false,false,true,true,true,"Sitelinks, Shopping, Thumbnail, Video preview",60,0,0.43,25,,,,1,,Lost,,https://pioneerpet.com/fountains/,,,2026-06-06 23:38:46,
pioneer pet raindrop fountain,US,United States,English,"Pioneer Pet (Organization), Raindrop Fountain (Product)",true,false,false,true,true,true,"Thumbnail, People also ask, Shopping, Discussions and forums, Image pack",200,3,0.49,43,22,-21,,1,2,'-1,,https://pioneerpet.com/fountains/all-fountains/,,https://pioneerpet.com/fountains/all-fountains/,2026-06-10 03:49:35,2026-08-19 07:57:25
pioneer pet fountain,CA,Canada,English,"Pioneer Pet (Organization), Pioneer Pet fountain (Product)",true,false,false,true,true,true,"Sitelinks, Shopping, Thumbnail, People also ask, Video preview",60,0,0.31,8,20,11,,1,1,,,https://pioneerpet.com/fountains/,,https://pioneerpet.com/fountains/,2026-05-28 04:07:40,2026-08-11 12:05:47
stainless steel pet fountain,US,United States,English,,false,false,false,false,true,true,"Shopping Ads, Thumbnail, Top ads, Paid sitelinks, Shopping, Image pack, People also ask, Sitelinks, Video preview, Bottom ads",800,5,0.85,19,,,,3,,Lost,,https://pioneerpet.com/fountains/stainless-steel/,,,2026-06-12 23:30:42,
stainless steel pet water fountain,US,United States,English,,false,false,false,false,true,true,"Shopping Ads, Thumbnail, Top ads, Paid sitelinks, Shopping, Sitelinks, People also ask, Image pack, Bottom ads, Video preview",400,17,0.67,18,,,,4,,Lost,,https://pioneerpet.com/fountains/stainless-steel/,,,2026-06-08 22:44:22,
ceramic pet fountain,US,United States,English,,false,false,false,true,true,true,"Shopping, Thumbnail, People also ask, Sitelinks",200,11,0.36,16,18,2,,4,6,'-2,,https://pioneerpet.com/fountains/ceramic/,,https://pioneerpet.com/fountains/ceramic/,2026-06-02 12:42:12,2026-09-20 14:21:06
pioneer pet water fountain,CA,Canada,English,"Pioneer Pet (Organization), Pioneer Pet water fountain (Product)",true,false,false,true,true,true,"Sitelinks, Shopping, Thumbnail, People also ask, Video preview",30,0,0.35,10,10,0,,1,1,,,https://pioneerpet.com/fountains/,,https://pioneerpet.com/fountains/,2026-05-26 15:45:54,2026-08-23 06:47:58
pioneer cat fountain,US,United States,English,"Pioneer Pet (Organization), Pioneer Pet cat fountain (Product)",true,false,false,true,true,true,"Shopping Ads, Thumbnail, Shopping, People also ask, Image pack, Sitelinks",40,0,0.31,12,9,-3,,1,1,,,https://pioneerpet.com/fountains/,,https://pioneerpet.com/fountains/,2026-05-26 22:55:16,2026-08-22 05:48:41
stainless pet fountain,US,United States,English,,false,false,false,false,true,true,"Shopping, Thumbnail, Sitelinks",70,1,0.34,9,,,,3,,Lost,,https://pioneerpet.com/fountains/stainless-steel/,,,2026-05-18 20:11:14,
stainless steel water fountain,US,United States,English,,false,false,false,true,true,true,"Shopping, Thumbnail, Sitelinks, Image pack, Videos",300,1,0.53,9,,,,9,,Lost,,https://pioneerpet.com/fountains/stainless-steel/,,,2026-05-24 10:34:29,
